FL_DATE,AIRLINE_ID,FL_NUM,REGION,ORIGIN_STATE_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,SCH_ARR_TIME,ACT_ARR_TIME,ARR_DELAY,SCH_DEPT_TIME,ACT_DEPT_TIME,DEPT_DELAY
12/27/2017,19805,358,South,Florida,Miami,Los Angeles,22:54,22:15,-39,19:40,19:36,-4
12/27/2017,19977,417,West,California,Los Angeles,Kahului,13:17,12:38,-39,9:10,9:00,-10
12/27/2017,19790,451,Northeast,New York,New York,Tampa,23:25,22:46,-39,19:55,19:55,0
12/27/2017,19805,726,West,California,Los Angeles,Philadelphia,16:33,15:54,-39,8:20,8:13,-7
12/27/2017,19790,887,West,Oregon,Portland,Atlanta,6:18,5:39,-39,22:45,22:38,-7
12/27/2017,19790,1665,West,California,Los Angeles,Seattle,16:09,15:30,-39,13:01,12:56,-5
12/27/2017,19790,1889,Northeast,New York,New York,Miami,20:18,19:39,-39,16:50,16:50,0
12/27/2017,19790,2864,West,Washington,Seattle,Atlanta,15:34,14:55,-39,7:43,7:40,-3
12/27/2017,19790,2941,Midwest,Minnesota,Minneapolis,Phoenix,22:16,21:37,-39,19:29,19:29,0
12/27/2017,19790,40,West,California,Los Angeles,New York,17:54,17:16,-38,9:30,9:27,-3
12/27/2017,19805,305,Northeast,Massachusetts,Boston,Los Angeles,21:42,21:04,-38,17:45,17:40,-5
12/27/2017,19790,842,South,Florida,Tampa,New York,22:42,22:04,-38,19:56,19:46,-10
12/27/2017,19790,949,Midwest,Minnesota,Minneapolis,Memphis,21:56,21:18,-38,19:30,19:28,-2
12/27/2017,19790,1196,West,California,Los Angeles,Kahului,12:35,11:57,-38,8:20,8:18,-2
12/27/2017,19805,1905,West,California,Los Angeles,Charlotte,8:15,7:37,-38,0:30,0:27,-3
12/27/2017,19790,1994,West,Arizona,Phoenix,New York,13:43,13:05,-38,7:00,6:58,-2
12/27/2017,19790,2062,Midwest,Minnesota,Minneapolis,Boston,21:43,21:05,-38,17:44,17:43,-1
12/27/2017,19805,2229,West,Nevada,Las Vegas,New York,19:29,18:51,-38,11:29,11:25,-4
12/27/2017,19977,347,West,Colorado,Denver,New York,13:42,13:05,-37,7:58,7:53,-5
12/27/2017,19790,581,West,Idaho,Boise,Minneapolis,9:05,8:28,-37,5:00,4:57,-3
12/27/2017,19805,671,West,Colorado,Denver,Charlotte,13:21,12:44,-37,8:06,8:02,-4
12/27/2017,19977,789,West,Colorado,Denver,Boston,15:51,15:14,-37,10:00,9:54,-6
12/27/2017,19790,1120,Midwest,Minnesota,Minneapolis,Newark,0:08,23:31,-37,20:15,20:14,-1
12/27/2017,19977,1130,West,California,Santa Ana,Newark,1:23,0:46,-37,17:10,16:58,-12
12/27/2017,19790,1505,Midwest,Minnesota,Minneapolis,San Francisco,20:35,19:58,-37,17:59,17:54,-5
12/27/2017,19790,1602,Midwest,Michigan,Detroit,San Diego,22:27,21:50,-37,19:55,19:53,-2
12/27/2017,19790,1727,West,Wyoming,Jackson,Salt Lake City,17:11,16:34,-37,15:46,15:38,-8
12/27/2017,19790,1732,Midwest,Minnesota,Minneapolis,San Jose,22:16,21:39,-37,19:50,19:46,-4
12/27/2017,19977,2068,West,California,Los Angeles,Dallas/Fort Worth,13:03,12:26,-37,7:45,7:38,-7
12/27/2017,19805,2245,South,Florida,Miami,San Diego,22:19,21:42,-37,19:35,19:27,-8
12/27/2017,19790,2279,West,California,San Diego,New York,7:04,6:27,-37,22:49,22:35,-14
12/27/2017,19790,2383,West,California,San Francisco,Atlanta,16:47,16:10,-37,9:00,8:55,-5
12/27/2017,19977,303,West,Colorado,Denver,New York,16:02,15:26,-36,10:18,10:12,-6
12/27/2017,19790,401,West,California,San Francisco,New York,16:52,16:16,-36,8:20,8:16,-4
12/27/2017,19977,406,West,Colorado,Denver,New York,21:37,21:01,-36,15:56,15:52,-4
12/27/2017,19790,444,Midwest,Minnesota,Minneapolis,New York,18:40,18:04,-36,14:43,14:41,-2
12/27/2017,19977,548,West,Nevada,Las Vegas,Newark,13:48,13:12,-36,6:00,5:56,-4
12/27/2017,19805,758,West,California,San Francisco,Philadelphia,14:10,13:34,-36,5:53,5:50,-3
12/27/2017,19790,1202,West,Utah,Salt Lake City,New York,6:08,5:32,-36,23:35,23:35,0
12/27/2017,19790,1588,West,Washington,Seattle,Atlanta,5:54,5:18,-36,22:15,22:14,-1
12/27/2017,19805,1630,South,Louisiana,New Orleans,Philadelphia,17:28,16:52,-36,13:41,13:31,-10
12/27/2017,19790,1816,West,Colorado,Denver,Atlanta,15:45,15:09,-36,10:40,10:39,-1
12/27/2017,19805,1856,West,Arizona,Phoenix,Philadelphia,14:47,14:11,-36,8:20,8:17,-3
12/27/2017,19977,2407,South,Georgia,Savannah,Newark,8:20,7:44,-36,6:06,6:01,-5
12/27/2017,19805,2503,West,California,Los Angeles,Chicago,17:46,17:10,-36,11:25,11:20,-5
12/27/2017,19805,2580,South,Louisiana,New Orleans,Los Angeles,20:20,19:44,-36,17:45,17:41,-4
12/27/2017,19805,210,West,Nevada,Las Vegas,New York,16:06,15:31,-35,8:10,8:10,0
12/27/2017,19805,343,Northeast,New York,New York,Chicago,18:25,17:50,-35,16:30,16:25,-5
12/27/2017,19977,793,South,Texas,Dallas/Fort Worth,Chicago,14:58,14:23,-35,12:35,12:25,-10
12/27/2017,19790,973,Midwest,Michigan,Detroit,New York,22:10,21:35,-35,20:00,20:09,9
12/27/2017,19805,1097,West,Washington,Seattle,Chicago,13:07,12:32,-35,7:00,6:55,-5
12/27/2017,19790,1187,Midwest,Minnesota,Minneapolis,Washington,21:28,20:53,-35,17:45,17:42,-3
12/27/2017,19790,1235,Midwest,Michigan,Detroit,Denver,21:56,21:21,-35,20:21,20:18,-3
12/27/2017,19977,1561,South,Texas,Dallas/Fort Worth,Chicago,16:42,16:07,-35,14:15,14:09,-6
12/27/2017,19790,1783,South,Louisiana,New Orleans,New York,9:59,9:24,-35,6:00,5:55,-5
12/27/2017,19805,1850,West,Colorado,Denver,Philadelphia,6:59,6:24,-35,1:30,1:18,-12
12/27/2017,19977,1858,West,Colorado,Denver,New York,23:19,22:44,-35,17:38,17:34,-4
12/27/2017,19977,2041,West,California,Los Angeles,Newark,14:16,13:41,-35,6:00,5:53,-7
12/27/2017,19790,2214,Midwest,Minnesota,Minneapolis,New York,0:13,23:38,-35,20:20,20:14,-6
12/27/2017,19977,2398,South,Louisiana,New Orleans,Newark,0:24,23:49,-35,20:33,20:21,-12
12/27/2017,19790,2567,Midwest,Kansas,Wichita,Atlanta,20:16,19:41,-35,17:10,17:00,-10
12/27/2017,19805,12,West,California,San Francisco,New York,20:30,19:56,-34,11:44,11:36,-8
12/27/2017,19805,293,Northeast,New York,New York,Los Angeles,23:59,23:25,-34,20:15,20:13,-2
12/27/2017,19805,529,West,California,San Diego,Philadelphia,14:32,13:58,-34,6:25,6:22,-3
12/27/2017,19977,575,West,California,San Francisco,Atlanta,18:34,18:00,-34,10:53,10:45,-8
12/27/2017,19805,624,West,Washington,Seattle,Charlotte,6:07,5:33,-34,22:15,22:08,-7
12/27/2017,19805,680,West,Arizona,Phoenix,Washington,20:02,19:28,-34,13:50,13:45,-5
12/27/2017,19790,763,West,California,Los Angeles,New York,14:35,14:01,-34,6:15,6:06,-9
12/27/2017,19790,808,Midwest,Minnesota,Minneapolis,Boston,10:46,10:12,-34,6:50,6:49,-1
12/27/2017,19805,820,South,Tennessee,Nashville,Philadelphia,10:14,9:40,-34,7:00,6:54,-6
12/27/2017,19790,928,West,Colorado,Denver,New York,16:47,16:13,-34,11:05,11:07,2
12/27/2017,19977,1041,South,Texas,Houston,Washington,11:37,11:03,-34,7:35,7:30,-5
12/27/2017,19977,1163,West,Colorado,Denver,Boston,21:28,20:54,-34,15:37,15:35,-2
12/27/2017,19790,1428,South,Florida,Fort Lauderdale,New York,10:00,9:26,-34,7:00,6:54,-6
12/27/2017,19790,1589,Midwest,Minnesota,Minneapolis,Washington,16:47,16:13,-34,13:12,13:14,2
12/27/2017,19790,1719,West,California,Los Angeles,Honolulu,14:54,14:20,-34,10:39,10:40,1
12/27/2017,19790,1750,West,Washington,Seattle,Atlanta,18:49,18:15,-34,11:00,10:58,-2
12/27/2017,19790,1785,Midwest,Minnesota,Minneapolis,Santa Ana,21:56,21:22,-34,19:35,19:33,-2
12/27/2017,19790,2063,South,Virginia,Washington,Minneapolis,10:32,9:58,-34,8:30,8:21,-9
12/27/2017,19790,2088,West,Utah,Salt Lake City,Charlotte,23:48,23:14,-34,18:00,17:51,-9
12/27/2017,19805,2112,West,California,San Francisco,Charlotte,14:45,14:11,-34,6:48,6:44,-4
12/27/2017,19790,2218,West,Washington,Seattle,New York,15:59,15:25,-34,7:40,7:36,-4
12/27/2017,19790,2426,West,Washington,Seattle,Minneapolis,19:05,18:31,-34,13:41,13:40,-1
12/27/2017,19805,2527,West,Arizona,Phoenix,New York,19:57,19:23,-34,13:10,13:09,-1
12/27/2017,19805,2569,West,Wyoming,Jackson,Chicago,17:13,16:39,-34,12:50,12:54,4
12/27/2017,19805,2776,West,Wyoming,Jackson,Dallas/Fort Worth,11:08,10:34,-34,7:00,6:56,-4
12/27/2017,19790,2817,West,Utah,Salt Lake City,Orlando,23:40,23:06,-34,17:21,17:15,-6
12/27/2017,19790,410,West,California,San Diego,New York,15:32,14:59,-33,7:15,7:09,-6
12/27/2017,19977,547,South,South Carolina,Charleston,Newark,7:56,7:23,-33,5:50,5:48,-2
12/27/2017,19977,577,West,California,San Francisco,Newark,14:28,13:55,-33,6:00,5:52,-8
12/27/2017,19977,645,South,Texas,Dallas/Fort Worth,Los Angeles,20:10,19:37,-33,18:29,18:26,-3
12/27/2017,19790,706,Midwest,Minnesota,Minneapolis,Pittsburgh,23:43,23:10,-33,20:30,20:26,-4
12/27/2017,19790,883,South,Louisiana,New Orleans,New York,17:34,17:01,-33,13:36,13:34,-2
12/27/2017,19977,1273,West,California,San Francisco,Kahului,15:04,14:31,-33,11:13,11:09,-4
12/27/2017,19790,1492,Midwest,Minnesota,Minneapolis,Denver,21:18,20:45,-33,19:46,19:44,-2
12/27/2017,19790,1512,West,Nevada,Las Vegas,New York,21:30,20:57,-33,13:35,13:29,-6
12/27/2017,19790,1782,Midwest,Minnesota,Minneapolis,Santa Ana,16:45,16:12,-33,14:30,14:26,-4
12/27/2017,19790,1844,Midwest,Minnesota,Minneapolis,Orlando,21:57,21:24,-33,17:30,17:27,-3
12/27/2017,19790,1858,Midwest,Minnesota,Minneapolis,Sacramento,20:16,19:43,-33,17:55,17:51,-4
12/27/2017,19790,2014,Northeast,New York,Syracuse,Atlanta,9:02,8:29,-33,6:00,5:58,-2
12/27/2017,19790,2016,West,Colorado,Denver,Atlanta,22:35,22:02,-33,17:35,17:33,-2
12/27/2017,19790,2183,West,Alaska,Fairbanks,Seattle,6:00,5:27,-33,1:00,0:49,-11
12/27/2017,19805,2333,West,Colorado,Eagle,Dallas/Fort Worth,17:44,17:11,-33,14:25,14:21,-4
12/27/2017,19790,2401,Northeast,New York,Albany,Atlanta,15:22,14:49,-33,12:20,12:12,-8
12/27/2017,19790,2425,West,Washington,Seattle,Los Angeles,15:25,14:52,-33,12:40,12:32,-8
12/27/2017,19790,2508,West,Utah,Salt Lake City,Santa Ana,21:47,21:14,-33,20:35,20:30,-5
12/27/2017,19393,5006,West,California,Los Angeles,Chicago,12:25,11:52,-33,6:20,6:16,-4
12/27/2017,19393,6632,Northeast,New York,New York,Milwaukee,12:55,12:22,-33,11:15,11:14,-1
12/27/2017,19790,16,West,Colorado,Denver,Detroit,16:36,16:04,-32,11:40,11:33,-7
12/27/2017,19805,172,West,California,Los Angeles,New York,19:16,18:44,-32,10:45,10:35,-10
12/27/2017,19977,260,West,Washington,Seattle,Washington,20:44,20:12,-32,12:50,12:39,-11
12/27/2017,19977,316,West,Arizona,Phoenix,Washington,15:34,15:02,-32,9:30,9:26,-4
12/27/2017,19805,327,West,Arizona,Tucson,Chicago,10:58,10:26,-32,6:30,6:27,-3
12/27/2017,19805,345,Northeast,New York,New York,Chicago,19:29,18:57,-32,17:30,17:34,4
12/27/2017,19977,360,West,California,Los Angeles,Washington,15:37,15:05,-32,7:43,7:43,0
12/27/2017,19977,491,West,Montana,Bozeman,Denver,8:47,8:15,-32,7:05,6:53,-12
12/27/2017,19977,556,West,Colorado,Denver,New York,17:14,16:42,-32,11:32,11:31,-1
12/27/2017,19977,856,West,California,Los Angeles,Washington,18:45,18:13,-32,10:53,10:49,-4
12/27/2017,19790,952,South,Florida,Fort Lauderdale,New York,21:58,21:26,-32,18:55,18:45,-10
12/27/2017,19977,1127,West,Oregon,Portland,Washington,7:19,6:47,-32,23:30,23:26,-4
12/27/2017,19977,1232,West,California,Los Angeles,Honolulu,22:44,22:12,-32,18:34,18:26,-8
12/27/2017,19805,1369,Northeast,Massachusetts,Boston,Los Angeles,20:02,19:30,-32,16:10,16:05,-5
12/27/2017,19790,1479,Midwest,Minnesota,Minneapolis,Las Vegas,9:04,8:32,-32,7:15,7:14,-1
12/27/2017,19790,1524,South,Texas,Houston,Atlanta,20:02,19:30,-32,16:58,16:52,-6
12/27/2017,19977,1642,Midwest,Illinois,Chicago,New York,20:15,19:43,-32,17:00,16:56,-4
12/27/2017,19790,1657,West,California,Sacramento,Minneapolis,19:45,19:13,-32,14:06,14:07,1
12/27/2017,19790,1698,West,Utah,Salt Lake City,Phoenix,23:56,23:24,-32,22:00,21:56,-4
12/27/2017,19977,1725,West,California,San Francisco,Kahului,12:50,12:18,-32,9:05,8:59,-6
12/27/2017,19790,1791,West,Wyoming,Jackson,Minneapolis,17:00,16:28,-32,13:29,13:25,-4
12/27/2017,19805,1903,Northeast,Pennsylvania,Pittsburgh,Philadelphia,17:04,16:32,-32,15:30,15:27,-3
12/27/2017,19790,1979,West,California,Los Angeles,Honolulu,21:27,20:55,-32,17:20,17:15,-5
12/27/2017,19790,2032,Midwest,Minnesota,Minneapolis,New York,10:41,10:09,-32,6:50,6:50,0
12/27/2017,19977,2101,South,Texas,Houston,San Francisco,23:37,23:05,-32,21:10,21:03,-7
12/27/2017,19790,2147,West,Hawaii,Lihue,Seattle,5:00,4:28,-32,21:10,21:01,-9
12/27/2017,19790,2438,Midwest,Michigan,Detroit,Boston,11:59,11:27,-32,9:55,9:58,3
12/27/2017,19805,2484,South,Texas,Dallas/Fort Worth,Newark,0:48,0:16,-32,20:30,20:29,-1
12/27/2017,19790,2549,Midwest,Minnesota,Minneapolis,Boston,17:11,16:39,-32,13:15,13:10,-5
12/27/2017,19393,6698,West,Washington,Seattle,Denver,12:20,11:48,-32,8:40,8:40,0
12/27/2017,19805,34,West,California,Los Angeles,New York,16:08,15:37,-31,7:45,7:42,-3
12/27/2017,19790,48,West,Colorado,Denver,New York,17:59,17:28,-31,12:16,12:11,-5
12/27/2017,19977,329,West,Colorado,Denver,Newark,5:02,4:31,-31,23:24,23:22,-2
12/27/2017,19805,437,Northeast,Pennsylvania,Philadelphia,Chicago,19:19,18:48,-31,17:39,17:33,-6
12/27/2017,19790,600,Midwest,Minnesota,Minneapolis,Kansas City,21:26,20:55,-31,19:40,19:36,-4
12/27/2017,19790,731,West,California,Los Angeles,Seattle,23:40,23:09,-31,20:35,20:29,-6
12/27/2017,19977,734,West,California,San Francisco,Chicago,12:03,11:32,-31,5:45,5:40,-5
12/27/2017,19790,773,South,Florida,Tampa,New York,10:42,10:11,-31,8:00,7:49,-11
12/27/2017,19805,833,West,Utah,Salt Lake City,Charlotte,6:18,5:47,-31,0:30,0:21,-9
12/27/2017,19805,1094,South,Texas,Dallas/Fort Worth,Boston,13:48,13:17,-31,9:10,9:05,-5
12/27/2017,19790,1149,West,California,Los Angeles,Honolulu,23:00,22:29,-31,18:55,18:53,-2
12/27/2017,19790,1175,Midwest,Minnesota,Minneapolis,Denver,8:22,7:51,-31,6:50,6:46,-4
12/27/2017,19805,1258,South,Texas,Dallas/Fort Worth,Chicago,14:06,13:35,-31,11:45,11:41,-4
12/27/2017,19790,1405,South,Louisiana,New Orleans,New York,15:55,15:24,-31,11:58,11:58,0
12/27/2017,19790,1408,West,Nevada,Las Vegas,Los Angeles,19:33,19:02,-31,18:01,17:59,-2
12/27/2017,19790,1598,West,Washington,Seattle,Atlanta,14:00,13:29,-31,6:15,6:12,-3
12/27/2017,19790,1627,Midwest,Minnesota,Minneapolis,Atlanta,13:41,13:10,-31,10:00,9:58,-2
12/27/2017,19393,1667,West,Colorado,Denver,New York,16:10,15:39,-31,10:30,10:29,-1
12/27/2017,19977,1749,West,California,San Francisco,Kahului,20:50,20:19,-31,17:02,17:02,0
12/27/2017,19977,1791,South,Texas,Houston,Los Angeles,20:54,20:23,-31,19:01,19:01,0
12/27/2017,19790,1874,West,Arizona,Phoenix,New York,6:30,5:59,-31,23:45,23:42,-3
12/27/2017,19805,2021,West,California,Sacramento,Charlotte,13:44,13:13,-31,6:00,6:01,1
12/27/2017,19805,2052,West,California,Los Angeles,Charlotte,19:12,18:41,-31,11:26,11:23,-3
12/27/2017,19790,2231,Midwest,Michigan,Detroit,New York,15:44,15:13,-31,13:45,13:46,1
12/27/2017,19790,2249,West,Utah,Salt Lake City,Washington,23:21,22:50,-31,17:15,17:12,-3
12/27/2017,19790,2475,Midwest,Wisconsin,Milwaukee,Atlanta,15:45,15:14,-31,12:35,12:30,-5
12/27/2017,19790,2637,West,Washington,Seattle,Las Vegas,21:32,21:01,-31,19:00,18:54,-6
12/27/2017,19393,6997,West,California,San Jose,Baltimore,15:05,14:34,-31,7:05,6:58,-7
12/27/2017,19805,2,West,California,Los Angeles,New York,17:43,17:13,-30,9:15,9:13,-2
12/27/2017,19790,38,West,Washington,Seattle,Atlanta,16:47,16:17,-30,9:00,9:01,1
12/27/2017,19805,147,Northeast,Massachusetts,Boston,Los Angeles,18:32,18:02,-30,14:40,14:38,-2
12/27/2017,19977,224,South,Georgia,Atlanta,Newark,8:03,7:33,-30,5:55,5:50,-5
12/27/2017,19805,416,West,California,Los Angeles,Charlotte,21:04,20:34,-30,13:20,13:13,-7
12/27/2017,19977,495,West,Colorado,Denver,Washington,15:03,14:33,-30,9:45,9:40,-5
12/27/2017,19805,657,South,North Carolina,Charlotte,Philadelphia,9:37,9:07,-30,7:50,7:44,-6
12/27/2017,19790,811,Midwest,Minnesota,Minneapolis,Phoenix,13:56,13:26,-30,11:20,11:15,-5
12/27/2017,19790,824,West,Arizona,Phoenix,Detroit,12:50,12:20,-30,7:00,6:55,-5
12/27/2017,19790,927,Northeast,New York,New York,Minneapolis,18:55,18:25,-30,16:30,16:26,-4
12/27/2017,19790,1101,Midwest,Minnesota,Minneapolis,Baltimore,23:58,23:28,-30,20:20,20:16,-4
12/27/2017,19790,1109,West,Washington,Seattle,New York,20:08,19:38,-30,11:45,11:51,6
12/27/2017,19393,1208,West,California,Los Angeles,Chicago,11:10,10:40,-30,5:10,5:09,-1
12/27/2017,19790,1224,Midwest,Minnesota,Minneapolis,Miami,19:56,19:26,-30,15:15,15:10,-5
12/27/2017,19790,1232,West,Washington,Seattle,Atlanta,19:45,19:15,-30,12:00,12:03,3
12/27/2017,19790,1389,West,Washington,Seattle,Phoenix,15:25,14:55,-30,11:30,11:29,-1
12/27/2017,19790,1440,West,Washington,Seattle,Detroit,16:56,16:26,-30,9:30,9:34,4
12/27/2017,19805,1537,Midwest,Illinois,Chicago,Philadelphia,10:05,9:35,-30,7:03,7:00,-3
12/27/2017,19977,1578,South,Texas,Houston,Boston,23:05,22:35,-30,18:20,18:17,-3
12/27/2017,19790,1596,Midwest,Minnesota,Minneapolis,New York,23:44,23:14,-30,20:01,19:59,-2
12/27/2017,19790,1760,Midwest,Michigan,Detroit,Boston,22:17,21:47,-30,20:08,20:08,0
12/27/2017,19790,2003,West,Washington,Seattle,Salt Lake City,22:25,21:55,-30,19:20,19:15,-5
12/27/2017,19790,2067,South,Tennessee,Memphis,Atlanta,21:45,21:15,-30,19:18,19:11,-7
12/27/2017,19805,2255,West,Nevada,Las Vegas,Charlotte,13:41,13:11,-30,6:30,6:24,-6
12/27/2017,19790,2333,West,Colorado,Denver,New York,21:45,21:15,-30,16:05,16:03,-2
12/27/2017,19790,2370,South,Florida,West Palm Beach/Palm Beach,New York,21:58,21:28,-30,18:59,18:59,0
12/27/2017,19790,2562,West,Utah,Salt Lake City,Sacramento,12:49,12:19,-30,11:50,11:47,-3
12/27/2017,19790,2942,West,Oregon,Portland,Minneapolis,13:26,12:56,-30,8:05,8:02,-3
12/27/2017,19393,6902,West,Washington,Seattle,Dallas,15:10,14:40,-30,9:20,9:19,-1
12/27/2017,19805,104,South,Virginia,Washington,New York,19:03,18:34,-29,17:26,17:23,-3
12/27/2017,19790,120,Midwest,Minnesota,Minneapolis,New York,17:02,16:33,-29,13:21,13:21,0
12/27/2017,19790,147,West,Utah,Salt Lake City,Atlanta,21:19,20:50,-29,15:41,15:40,-1
12/27/2017,19805,286,West,Hawaii,Lihue,Los Angeles,6:41,6:12,-29,23:08,22:45,-23
12/27/2017,19805,356,Northeast,New York,New York,Chicago,10:22,9:53,-29,8:30,8:23,-7
12/27/2017,19977,385,South,Texas,Houston,San Francisco,0:12,23:43,-29,21:45,21:38,-7
12/27/2017,19790,498,Northeast,New York,New York,Salt Lake City,10:25,9:56,-29,6:42,6:37,-5
12/27/2017,19977,535,West,California,San Francisco,Newark,20:23,19:54,-29,11:45,11:45,0
12/27/2017,19977,614,South,Virginia,Washington,Newark,13:56,13:27,-29,12:30,12:23,-7
12/27/2017,19977,712,West,Colorado,Denver,Washington,16:19,15:50,-29,11:02,10:58,-4
12/27/2017,19977,745,West,Oregon,Portland,Chicago,4:44,4:15,-29,22:50,22:48,-2
12/27/2017,19790,781,Midwest,Minnesota,Minneapolis,Phoenix,17:40,17:11,-29,14:58,14:53,-5
12/27/2017,19790,786,Northeast,New York,New York,Tampa,19:15,18:46,-29,15:55,15:52,-3
12/27/2017,19790,868,Midwest,Minnesota,Minneapolis,Boston,0:25,23:56,-29,20:30,20:24,-6
12/27/2017,19790,884,Midwest,Minnesota,Minneapolis,San Diego,20:12,19:43,-29,17:55,18:00,5
12/27/2017,19790,885,Midwest,Michigan,Grand Rapids,Atlanta,20:09,19:40,-29,17:49,17:45,-4
12/27/2017,19790,926,South,Florida,Sarasota/Bradenton,New York,17:50,17:21,-29,15:05,14:59,-6
12/27/2017,19790,959,Midwest,Michigan,Detroit,New York,19:37,19:08,-29,17:33,17:29,-4
12/27/2017,19805,1072,West,New Mexico,Albuquerque,Chicago,11:01,10:32,-29,7:05,7:02,-3
12/27/2017,19805,1103,West,Nevada,Las Vegas,Chicago,5:47,5:18,-29,0:15,0:08,-7
12/27/2017,19790,1152,Midwest,Ohio,Columbus,Atlanta,18:14,17:45,-29,16:25,16:23,-2
12/27/2017,19977,1169,South,Texas,Houston,Los Angeles,9:40,9:11,-29,7:35,7:34,-1
12/27/2017,19977,1418,South,Florida,Fort Lauderdale,Chicago,9:49,9:20,-29,7:30,7:19,-11
12/27/2017,19790,1452,West,New Mexico,Albuquerque,Atlanta,11:14,10:45,-29,6:10,6:08,-2
12/27/2017,19790,1529,Midwest,Minnesota,Minneapolis,Boston,19:19,18:50,-29,15:25,15:24,-1
12/27/2017,19790,1532,South,Florida,Tampa,New York,19:56,19:27,-29,17:10,16:59,-11
12/27/2017,19790,1560,Northeast,Pennsylvania,Pittsburgh,Atlanta,18:25,17:56,-29,16:19,16:18,-1
12/27/2017,19790,1743,West,Nevada,Las Vegas,Atlanta,21:44,21:15,-29,14:55,14:48,-7
12/27/2017,19977,1817,West,Colorado,Denver,Cedar Rapids/Iowa City,23:13,22:44,-29,20:16,20:09,-7
12/27/2017,19977,1867,South,Texas,Houston,Newark,0:30,0:01,-29,20:05,20:02,-3
